x,multi-finetuned,multi-frozen,baseline,linear,reg-finetuned
0.846,0.056795488627576246,0.6093851540249976,0.3305198705955265,0.3599929864751882,0.18389233105245298
0.848,0.05877351876535053,0.6076964632183695,0.3476454880787779,0.37216093250975557,0.19577979498270048
0.85,0.06128770968718219,0.6051992953496672,0.365033264242555,0.38527475980531223,0.20757227294494213
0.852,0.06473638830981064,0.6017250772781955,0.3825346134623407,0.39936712425767723,0.21939877742111588
0.854,0.06955705990029402,0.5971263971491831,0.3999991026338913,0.41444954088998254,0.23142803899582057
0.856,0.07620228384665766,0.5912822887126685,0.41728049929392474,0.4305103708351436,0.24385787625292182
0.858,0.08511182428540442,0.584102279956774,0.4342428134410645,0.44751315491244886,0.2569023980761409
0.86,0.09668294236353518,0.5755290332261712,0.45076597696453075,0.46539537778756174,0.2707781991259556
0.862,0.1112410226891129,0.565539488858727,0.46675081860330675,0.4840677620229715,0.2856907993425523
0.864,0.1290129028406304,0.554144515618009,0.4821230303337692,0.5034142010770336,0.3018225289114941
0.866,0.1501052599377447,0.5413871614422263,0.49683588015415225,0.5232924412478207,0.3193228697097394
0.868,0.1744901672469663,0.5273396799025928,0.5108715018266257,0.5435356121135929,0.33830194729418084
